Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Technical sales engineer,Transportation,Increasing,High,PhD,10,1067,3312,91.51,86.8,Canada,35.31,71802.38
Soil scientist,Finance,Decreasing,Moderate,Associate Degree,12,8434,2214,37.66,43.96,Brazil,70.72,136931.24
Waste management officer,Transportation,Increasing,Moderate,PhD,11,6027,7119,36.76,73.92,China,24.17,127515.05
Civil Service fast streamer,Manufacturing,Increasing,High,Bachelor’s Degree,15,2490,9307,62.57,90.29,UK,61.4,65034.04
Exercise physiologist,Manufacturing,Decreasing,High,Master’s Degree,3,512,266,12.58,26.47,UK,54.35,37620.83
Interior and spatial designer,Manufacturing,Decreasing,High,Associate Degree,8,9817,6304,70.16,82.85,China,47.64,128593.18
Theatre stage manager,Manufacturing,Increasing,Moderate,Associate Degree,18,161,6479,78.49,83.0,India,25.07,148184.84
Make,Finance,Decreasing,Low,Associate Degree,3,9014,9480,21.06,35.98,Australia,25.32,69589.96
Records manager,Retail,Increasing,High,PhD,18,1517,3731,39.92,60.84,Germany,70.23,93310.13
Accounting technician,Manufacturing,Decreasing,High,PhD,19,6431,4801,25.43,34.23,India,51.68,55631.79
"Teacher, primary school",Manufacturing,Increasing,Low,Bachelor’s Degree,1,2880,6096,32.92,32.31,Brazil,69.9,50173.81
Special effects artist,Manufacturing,Decreasing,Low,Master’s Degree,2,4146,8000,5.73,83.8,Australia,35.88,129679.21
Wellsite geologist,Manufacturing,Increasing,High,Associate Degree,15,9223,4894,52.9,78.23,China,68.45,125775.3
"Designer, industrial/product",Transportation,Increasing,Moderate,High School,0,4996,5872,93.3,73.09,Australia,65.65,98934.92
Orthoptist,Manufacturing,Increasing,High,Master’s Degree,1,1543,8438,2.6,55.64,Brazil,20.22,109269.65
Museum/gallery conservator,IT,Decreasing,High,PhD,0,6290,7260,89.54,19.79,India,45.63,76241.71
Ranger/warden,Retail,Increasing,Moderate,PhD,5,7776,9239,28.24,8.86,China,22.13,32345.17
Learning disability nurse,Transportation,Decreasing,High,Associate Degree,7,1730,7577,78.29,77.83,China,21.48,110592.8
Microbiologist,Manufacturing,Decreasing,Low,Associate Degree,16,3840,2422,59.19,3.04,Germany,39.55,95546.36
Proofreader,Finance,Increasing,Moderate,High School,17,1979,6115,36.22,81.24,India,56.67,139878.65
Clinical biochemist,Manufacturing,Decreasing,Low,PhD,8,4598,1102,26.86,60.73,China,20.63,128516.03
"Accountant, chartered public finance",Retail,Decreasing,High,PhD,20,2272,2434,97.8,82.1,Germany,40.67,135730.17
"Buyer, retail",Education,Decreasing,Low,Associate Degree,11,9285,2866,82.27,13.95,USA,26.95,60103.47
Sports coach,Education,Increasing,Low,Bachelor’s Degree,19,289,2045,74.29,66.47,India,44.03,119339.7
Biomedical scientist,Healthcare,Increasing,High,High School,19,3762,5583,16.65,95.43,UK,61.7,70384.36
"Designer, jewellery",Healthcare,Increasing,High,PhD,19,2967,8361,58.64,17.68,Australia,66.41,146925.63
Psychiatric nurse,Manufacturing,Decreasing,High,Bachelor’s Degree,20,1797,8325,30.72,81.05,UK,44.96,137813.03
Research scientist (physical sciences),Education,Increasing,High,Master’s Degree,13,1683,3562,17.38,94.68,China,30.85,33163.59
"Investment banker, corporate",Finance,Increasing,Low,Bachelor’s Degree,13,2611,8539,9.54,80.92,Brazil,72.71,88470.63
Financial trader,Healthcare,Increasing,Moderate,High School,20,1686,7218,95.23,65.24,UK,24.64,41930.05
"Horticulturist, amenity",IT,Decreasing,Low,PhD,14,1461,1940,77.28,32.74,UK,46.54,98105.59
Environmental health practitioner,Healthcare,Increasing,Low,High School,18,765,3065,85.55,40.52,Germany,77.9,99117.62
Applications developer,Transportation,Decreasing,Moderate,Master’s Degree,5,8562,9921,85.08,18.17,Canada,39.17,142805.05
"Programmer, systems",Manufacturing,Increasing,High,Bachelor’s Degree,4,4874,7263,64.93,19.83,India,49.82,99987.3
Purchasing manager,IT,Decreasing,High,PhD,18,9507,3668,56.41,12.84,Australia,30.95,69281.61
"Research officer, political party",Transportation,Increasing,Moderate,High School,18,7539,972,76.26,27.41,Brazil,39.69,142037.22
"Engineer, chemical",Education,Increasing,Moderate,Master’s Degree,3,4738,8327,40.76,32.89,USA,29.74,124665.99
Land,Manufacturing,Decreasing,Low,Bachelor’s Degree,17,2767,8679,73.16,21.27,USA,49.1,87662.47
Hotel manager,Finance,Increasing,Low,Bachelor’s Degree,10,1797,6396,96.53,84.93,Australia,78.56,35626.65
Psychiatric nurse,Finance,Increasing,Low,High School,12,5747,3309,75.71,83.73,Australia,35.4,65487.42
"Psychotherapist, child",Retail,Increasing,Low,Master’s Degree,6,4728,3440,42.06,31.49,Australia,54.2,97861.41
Proofreader,Retail,Increasing,Low,PhD,5,2232,136,67.17,77.54,Germany,59.81,77302.17
Automotive engineer,Entertainment,Increasing,Moderate,High School,11,959,9358,67.1,10.11,UK,24.43,99154.4
Marketing executive,Entertainment,Increasing,Low,Associate Degree,12,5252,1461,50.2,22.62,USA,69.84,121840.96
Garment/textile technologist,IT,Increasing,Moderate,Master’s Degree,8,386,9826,53.26,47.22,Canada,77.15,71783.54
English as a second language teacher,Finance,Increasing,High,Bachelor’s Degree,15,6602,2003,89.98,35.07,UK,57.13,45664.46
Architect,Education,Decreasing,Moderate,Bachelor’s Degree,9,2526,7531,98.54,89.51,UK,20.35,116499.65
Data processing manager,Transportation,Decreasing,Low,Bachelor’s Degree,6,6861,2379,12.87,28.99,China,72.44,91624.83
Physiological scientist,IT,Decreasing,Low,Associate Degree,5,9867,7967,33.06,4.51,China,50.48,55162.86
Chief Technology Officer,Entertainment,Increasing,Low,Master’s Degree,12,1191,4132,98.17,74.26,USA,39.06,70474.92
Trade union research officer,Transportation,Decreasing,Low,Bachelor’s Degree,18,7007,4116,2.81,58.01,Germany,72.15,32890.95
Ophthalmologist,Entertainment,Increasing,High,PhD,10,2932,8559,99.63,41.76,India,76.08,95175.29
Financial trader,Retail,Increasing,Moderate,Bachelor’s Degree,13,1862,616,11.03,24.63,Australia,27.11,32760.05
"Engineer, materials",Healthcare,Increasing,High,Associate Degree,4,9981,3441,15.59,18.63,Canada,21.66,55496.18
Media buyer,Transportation,Decreasing,Moderate,Master’s Degree,8,9728,1140,33.97,98.25,Germany,28.67,83800.68
"Engineer, civil (consulting)",Healthcare,Increasing,High,Associate Degree,17,9875,3498,88.05,88.53,USA,68.52,78530.82
"Research officer, government",Finance,Decreasing,Moderate,Bachelor’s Degree,13,8476,1834,24.74,16.82,China,67.98,39009.4
Lexicographer,Transportation,Decreasing,High,Bachelor’s Degree,14,539,2639,41.32,38.55,Canada,36.79,63444.8
Materials engineer,Healthcare,Decreasing,High,High School,14,1423,8956,32.59,78.84,UK,62.95,98150.33
Retail manager,Healthcare,Increasing,Low,Associate Degree,20,874,6274,16.88,15.92,USA,35.79,62240.62
"Runner, broadcasting/film/video",IT,Decreasing,Moderate,PhD,19,9889,4398,95.64,23.28,Brazil,56.64,37731.45
"Merchandiser, retail",Transportation,Increasing,High,Master’s Degree,9,5921,7963,3.33,73.89,Brazil,57.47,105906.92
Speech and language therapist,Transportation,Decreasing,Low,PhD,20,9241,1808,46.73,52.31,USA,37.14,79040.26
"Scientist, audiological",Finance,Increasing,High,Associate Degree,14,8487,1766,49.72,13.91,UK,49.83,147193.7
"Conservation officer, historic buildings",Transportation,Increasing,High,Master’s Degree,17,5900,3823,77.71,30.96,Brazil,79.62,130592.02
"Pharmacist, hospital",Finance,Increasing,Moderate,Master’s Degree,11,6371,8615,96.79,25.7,Australia,72.22,141664.09
Consulting civil engineer,IT,Increasing,High,Bachelor’s Degree,9,7808,9496,1.63,1.8,UK,41.67,98164.02
"Programmer, applications",Manufacturing,Decreasing,Moderate,Bachelor’s Degree,1,584,3651,67.43,59.33,India,49.79,104021.98
Hydrographic surveyor,Manufacturing,Increasing,Low,PhD,17,4375,514,95.56,57.85,India,43.93,136571.79
Theatre manager,Education,Decreasing,Low,Bachelor’s Degree,16,2676,8688,25.22,35.74,UK,33.52,111706.65
Volunteer coordinator,Healthcare,Decreasing,Low,Associate Degree,11,5533,4753,34.73,5.31,India,56.72,123785.36
Holiday representative,Healthcare,Decreasing,Low,PhD,10,6033,1802,16.98,24.04,Germany,60.44,133608.82
Seismic interpreter,Manufacturing,Increasing,Low,Master’s Degree,2,9723,1373,1.78,76.29,USA,28.22,59149.61
Ceramics designer,Retail,Decreasing,Moderate,High School,5,1073,1829,7.61,20.72,India,55.85,72211.3
"Sales professional, IT",Finance,Decreasing,Moderate,PhD,13,9718,1067,54.26,77.93,Canada,61.25,109682.11
"Doctor, general practice",Manufacturing,Decreasing,Moderate,PhD,0,9365,1002,96.26,67.26,USA,75.35,120757.38
"Designer, ceramics/pottery",Healthcare,Decreasing,Moderate,High School,7,1996,933,69.1,57.97,Germany,40.49,63514.02
Leisure centre manager,Education,Decreasing,Moderate,PhD,8,6683,7833,27.34,35.16,China,29.05,123703.53
Artist,Manufacturing,Decreasing,High,PhD,8,9270,1567,13.4,27.89,China,56.63,122632.0
"Programmer, systems",Manufacturing,Decreasing,High,High School,4,2866,6874,24.8,38.04,China,55.37,39874.17
Insurance broker,Manufacturing,Decreasing,High,PhD,17,6289,2097,37.92,81.93,Brazil,79.33,67752.65
Quarry manager,Retail,Decreasing,Moderate,Associate Degree,8,8128,7706,20.33,41.1,China,34.33,90255.62
"Psychologist, counselling",Entertainment,Increasing,High,High School,7,6670,5711,93.0,93.51,Australia,49.65,95981.27
"Social research officer, government",Manufacturing,Decreasing,Low,Master’s Degree,15,3817,5833,48.79,68.14,China,55.66,88504.37
"Education officer, museum",Retail,Increasing,Moderate,Associate Degree,7,6400,7546,41.13,21.1,Australia,60.75,135833.99
"Designer, furniture",IT,Decreasing,Moderate,Bachelor’s Degree,20,1325,689,80.44,35.51,India,51.85,117718.41
"Administrator, sports",Finance,Increasing,Moderate,High School,8,8250,5966,41.12,37.74,China,37.51,72522.79
"Lighting technician, broadcasting/film/video",IT,Increasing,High,Associate Degree,1,758,9663,86.47,57.65,Canada,63.49,79665.85
Water quality scientist,IT,Increasing,Moderate,High School,8,6881,1397,1.63,83.28,USA,47.46,87641.95
Paediatric nurse,Manufacturing,Increasing,Low,Associate Degree,6,4262,7171,27.99,72.44,Germany,64.8,103114.26
Air broker,Transportation,Decreasing,Low,Associate Degree,10,7119,9854,6.49,20.37,Germany,60.06,30123.46
Audiological scientist,Manufacturing,Increasing,Low,PhD,17,5001,8589,14.13,82.24,Brazil,68.07,139480.53
Health visitor,Education,Increasing,Moderate,PhD,19,705,7179,60.94,74.44,Canada,70.52,48861.57
"Surveyor, hydrographic",Healthcare,Decreasing,Low,PhD,3,1269,838,78.97,83.7,Brazil,64.62,136452.63
"Horticulturist, commercial",Finance,Decreasing,Low,Bachelor’s Degree,0,7826,1907,47.8,72.07,Canada,44.06,146562.53
Data processing manager,Education,Decreasing,High,Bachelor’s Degree,9,286,8853,87.36,69.49,UK,64.52,86012.02
"Surveyor, hydrographic",Entertainment,Increasing,Low,Master’s Degree,19,2785,5215,69.25,81.53,Germany,43.53,128294.66
Commercial/residential surveyor,Manufacturing,Increasing,Moderate,Bachelor’s Degree,20,3945,9435,27.1,88.01,Brazil,53.22,40960.82
"Education officer, environmental",Education,Increasing,Moderate,Bachelor’s Degree,5,2524,2576,10.11,38.54,Brazil,22.59,126230.31
Field seismologist,Manufacturing,Decreasing,Moderate,Master’s Degree,9,9408,7095,81.42,90.4,USA,67.95,42800.73
Fashion designer,Transportation,Decreasing,Moderate,Bachelor’s Degree,17,4430,5973,45.55,52.27,Canada,60.5,125654.97
Warehouse manager,Manufacturing,Increasing,Moderate,High School,9,429,9137,37.89,37.61,UK,78.99,33817.99
Customer service manager,IT,Increasing,High,Bachelor’s Degree,1,5795,9973,68.33,9.55,India,73.92,132698.8
IT trainer,Finance,Decreasing,Low,Master’s Degree,12,1945,904,77.23,76.5,Canada,66.95,110139.1
Psychiatric nurse,Healthcare,Increasing,High,Associate Degree,2,751,4698,77.2,13.5,China,55.42,140045.54
Operations geologist,Transportation,Decreasing,Low,PhD,10,7801,8268,63.27,91.2,USA,55.31,74334.6
Media planner,Education,Increasing,Moderate,Master’s Degree,16,2962,8405,32.51,26.9,Australia,74.96,108376.62
Veterinary surgeon,Retail,Decreasing,High,High School,2,4084,1460,16.04,12.09,India,71.57,107569.07
Chief Technology Officer,Retail,Increasing,High,Master’s Degree,11,7942,8373,80.64,38.7,Brazil,71.09,101607.51
Building services engineer,IT,Increasing,Low,PhD,11,5552,7604,42.57,47.62,USA,75.96,81101.32
Chief Technology Officer,Education,Increasing,Moderate,Master’s Degree,2,711,7146,20.3,60.71,UK,44.52,106469.11
Drilling engineer,IT,Increasing,High,Bachelor’s Degree,13,5810,4380,23.53,51.95,Brazil,56.9,147499.73
"Producer, television/film/video",Retail,Increasing,Low,Associate Degree,0,1226,6733,7.63,71.3,Canada,32.13,91451.49
Geoscientist,Manufacturing,Decreasing,Moderate,PhD,12,2030,5793,42.01,51.5,UK,36.38,87114.51
"Radiographer, therapeutic",Healthcare,Decreasing,High,Associate Degree,17,397,7758,32.13,88.15,India,33.22,55992.13
TEFL teacher,Education,Decreasing,Low,Master’s Degree,20,391,2513,37.06,87.81,China,40.66,63803.11
Arboriculturist,Education,Decreasing,Low,PhD,2,1267,4913,62.09,3.34,Germany,79.97,130151.95
"Librarian, academic",Manufacturing,Decreasing,Low,PhD,12,2984,5188,44.24,76.4,Australia,42.04,41419.96
Immunologist,Finance,Increasing,Low,Master’s Degree,0,3660,3272,12.66,89.73,Australia,74.83,41697.41
Heritage manager,IT,Decreasing,Low,PhD,17,3745,8600,98.38,64.66,Australia,30.53,133142.01
"Surveyor, land/geomatics",Entertainment,Increasing,High,High School,19,5870,2101,97.54,18.82,USA,64.56,118986.51
Horticultural therapist,IT,Increasing,Low,PhD,14,7739,6505,46.82,10.34,UK,32.64,68285.4
Barrister,Transportation,Increasing,Low,High School,10,1084,5194,77.63,7.74,Australia,71.17,100106.39
Ergonomist,Transportation,Decreasing,Low,Associate Degree,13,2192,2906,23.79,67.26,Canada,64.65,120441.75
Advertising copywriter,IT,Decreasing,High,PhD,3,530,5626,54.19,21.69,India,42.1,88450.29
Chief Financial Officer,IT,Decreasing,Moderate,Bachelor’s Degree,8,9679,3843,29.05,62.58,Canada,69.94,48484.76
"Administrator, Civil Service",Manufacturing,Decreasing,Moderate,Master’s Degree,7,7356,5173,36.22,33.2,USA,33.34,143337.09
"Scientist, research (maths)",Entertainment,Increasing,Low,Master’s Degree,17,8382,1937,24.7,40.26,India,56.5,60344.28
Counselling psychologist,Entertainment,Increasing,Moderate,Master’s Degree,11,3224,4312,46.9,62.98,Germany,44.69,124840.91
Equality and diversity officer,Transportation,Increasing,Moderate,Master’s Degree,16,3631,9562,56.33,54.04,Germany,26.18,51760.56
Financial trader,Healthcare,Increasing,Moderate,Associate Degree,2,5800,5064,97.28,55.4,Germany,77.62,84923.47
Soil scientist,Retail,Decreasing,High,Associate Degree,20,6244,9421,28.45,11.78,Brazil,24.87,44430.63
Chief of Staff,Healthcare,Decreasing,Low,PhD,5,712,8839,18.52,45.75,Germany,33.77,51635.26
Event organiser,Manufacturing,Increasing,Low,High School,4,6334,1993,38.72,95.79,Canada,52.31,30219.29
Tour manager,IT,Increasing,Moderate,High School,12,1724,2759,2.5,63.93,UK,42.33,108738.01
Insurance risk surveyor,Education,Increasing,Moderate,Master’s Degree,4,5042,5074,73.82,2.1,Brazil,36.2,46824.76
Editorial assistant,IT,Decreasing,Moderate,Master’s Degree,0,2827,8131,40.28,9.98,USA,70.72,105671.44
Sports coach,IT,Decreasing,Moderate,Bachelor’s Degree,10,8505,8828,61.47,90.58,Germany,47.7,138477.47
Food technologist,Transportation,Increasing,High,Associate Degree,19,9139,4001,23.16,17.26,USA,37.33,128041.29
Medical secretary,Education,Increasing,Moderate,High School,4,4421,3367,39.68,86.53,Canada,69.69,57244.4
"Geologist, wellsite",Education,Decreasing,Low,Bachelor’s Degree,20,6598,8110,86.72,58.17,Germany,31.14,90051.98
"Teacher, English as a foreign language",IT,Increasing,Moderate,Associate Degree,0,5196,4499,27.78,26.64,China,43.17,125545.87
Race relations officer,Manufacturing,Decreasing,High,PhD,6,6904,1427,37.15,41.26,UK,54.28,118645.03
Curator,Finance,Decreasing,Low,Bachelor’s Degree,9,9926,3018,99.38,90.18,Brazil,62.19,98639.13
Animator,Entertainment,Decreasing,Low,High School,5,7431,683,80.62,83.51,Germany,49.41,75926.45
Software engineer,Manufacturing,Increasing,Moderate,Associate Degree,9,589,7060,75.43,42.74,USA,32.81,92718.77
Immunologist,Retail,Decreasing,Moderate,Bachelor’s Degree,1,7611,1207,63.92,80.79,China,33.36,129990.06
"Geneticist, molecular",IT,Decreasing,Moderate,High School,20,9966,2864,96.38,2.89,Germany,73.67,77768.63
Claims inspector/assessor,Transportation,Increasing,Low,Associate Degree,0,7331,4765,90.93,77.27,India,58.63,105323.97
Diplomatic Services operational officer,Entertainment,Decreasing,Low,PhD,14,1773,6942,32.23,1.88,Brazil,39.51,91951.95
Naval architect,Transportation,Decreasing,Low,PhD,10,3435,3299,7.44,66.13,Canada,52.06,35935.22
"Psychologist, sport and exercise",Transportation,Increasing,Moderate,Master’s Degree,7,4436,8760,95.86,56.5,Brazil,35.79,94823.61
Contractor,Entertainment,Decreasing,Low,Bachelor’s Degree,5,8473,7310,15.0,25.46,China,23.82,63211.42
Research scientist (medical),Manufacturing,Decreasing,High,PhD,17,4144,2378,61.12,19.46,India,53.78,46821.62
Chartered accountant,Healthcare,Increasing,Low,Associate Degree,6,9621,8377,78.42,12.88,Canada,43.01,36605.91
Legal executive,Healthcare,Increasing,Moderate,High School,16,9500,8277,32.51,40.3,Germany,73.13,129621.03
Cartographer,IT,Increasing,Low,Associate Degree,18,7812,4524,49.35,68.56,Brazil,72.57,129807.73
Government social research officer,Entertainment,Increasing,High,PhD,3,1602,106,98.82,31.23,Australia,56.9,52757.13
Production engineer,Education,Decreasing,High,Bachelor’s Degree,4,1097,1739,96.47,80.98,China,54.87,91537.1
Intelligence analyst,Education,Decreasing,Low,Bachelor’s Degree,15,7927,6920,23.58,54.69,Brazil,38.51,116438.75
Community development worker,Healthcare,Increasing,Moderate,PhD,9,4613,9846,18.39,68.46,USA,70.95,122760.94
"Therapist, art",Education,Increasing,High,Associate Degree,17,930,5620,10.65,64.11,India,42.44,35070.18
Fish farm manager,Manufacturing,Increasing,Moderate,Associate Degree,11,9528,8735,73.38,71.29,UK,44.66,124512.28
Midwife,Manufacturing,Decreasing,High,Associate Degree,13,4074,3467,89.41,13.7,Australia,47.73,79319.75
Health service manager,IT,Increasing,High,Bachelor’s Degree,3,9642,6596,71.22,43.15,India,71.06,145216.59
Paediatric nurse,Education,Increasing,Low,Associate Degree,1,7499,2352,40.86,47.59,Australia,68.18,95656.02
Hydrogeologist,Entertainment,Decreasing,High,High School,20,777,6435,22.68,46.66,Australia,49.61,137961.57
Academic librarian,Healthcare,Increasing,High,PhD,20,4209,8416,41.68,10.25,USA,41.53,40658.0
Database administrator,Transportation,Decreasing,High,Master’s Degree,11,8643,8388,42.77,9.52,Brazil,37.46,65219.39
Clinical cytogeneticist,Finance,Increasing,High,PhD,10,6647,6993,80.67,21.76,Germany,71.05,82555.75
Architectural technologist,Finance,Increasing,Low,PhD,5,6366,9835,24.52,37.8,USA,43.73,82038.45
